packetID;dataSize;timestamp;gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z
171;20;8721;45;16;12;3632;-10160;12192
171;20;8821;-44;-13;22;3600;-10176;12112
171;20;8921;20;21;-22;3664;-10240;12128
171;20;9021;12;39;-33;3648;-10176;12208
171;20;9121;99;-1;-45;3680;-10256;12112
171;20;9221;81;-20;12;3648;-10304;12064
171;20;9321;13;-54;-26;3600;-10256;12128
171;20;9421;-128;-67;-24;3616;-10176;12208
171;20;9521;39;-91;49;3648;-10208;12240
171;20;9621;-272;-268;-529;3504;-10176;12208
171;20;9721;647;-45;523;3536;-10416;12256
171;20;9821;239;-95;-272;3520;-10528;11968
171;20;9921;633;203;362;3488;-10544;12000
171;20;10021;-125;-237;-286;3552;-10512;11904
171;20;10121;2658;153;395;3488;-10320;12016
171;20;10221;4557;460;459;3296;-10064;12160
171;20;10321;5014;437;11;3552;-9328;12640
171;20;10421;2681;299;-75;3616;-8480;13232
171;20;10521;1434;416;23;3648;-7840;13648
171;20;10621;1858;576;-331;3776;-7456;13904
171;20;10721;2392;318;-135;3808;-6928;14080
171;20;10821;1219;29;77;3920;-6464;14368
171;20;10921;-2097;-122;-314;4016;-6160;14448
171;20;11021;-2175;-188;-315;4016;-6624;14400
171;20;11121;-2336;-249;-517;3984;-6864;14128
171;20;11221;-3669;-408;-596;3968;-7152;13904
171;20;11321;-2787;-287;-146;3776;-7808;13568
171;20;11421;-2490;-200;140;3696;-8448;13392
171;20;11521;-2910;-367;-166;3712;-8832;13136
171;20;11621;-3780;-558;-102;3600;-9488;12624
171;20;11721;-3226;-472;-377;3568;-10160;12160
171;20;11821;-2388;-404;-523;3520;-10640;11936
171;20;11921;-1238;-201;-95;3264;-11328;11440
171;20;12021;2234;68;96;3120;-11744;10992
171;20;12121;4295;313;120;3136;-11536;11152
171;20;12221;3978;611;-16;3120;-11248;11472
171;20;12321;3216;458;130;3280;-10688;12000
171;20;12421;2949;504;96;3376;-9984;12432
171;20;12521;2049;352;91;3456;-9472;12800
171;20;12621;1576;288;69;3584;-8832;13200
171;20;12721;1950;271;35;3680;-8368;13456
171;20;12821;2412;264;35;3744;-8000;13712
171;20;12921;2994;-38;69;3840;-7616;13840
171;20;13021;4935;168;47;4016;-7072;14176
171;20;13121;1560;-245;-10;4144;-6240;14512
171;20;13221;1449;-252;-326;3952;-5584;14736
171;20;13321;771;-543;-576;4016;-5056;14976
171;20;13421;-1214;-186;-168;3728;-4896;15120
171;20;13521;-7479;230;-357;3760;-4816;15008
171;20;13621;-1635;-109;-252;3664;-5696;14592
171;20;13721;-1631;30;-83;3664;-6352;14608
171;20;13821;-2379;-5;-58;3536;-6864;14432
171;20;13921;-3038;-498;-387;3520;-7360;14080
171;20;14021;-3311;-459;-109;3408;-8000;13856
171;20;14121;-2496;-319;-51;3328;-8640;13408
171;20;14221;-2677;-393;-153;3264;-9136;13040
171;20;14321;-2580;-351;-16;3168;-9648;12704
171;20;14421;-2057;-264;66;2992;-10128;12304
171;20;14521;-2337;-370;-169;3008;-10576;11920
171;20;14621;1960;212;422;2816;-11152;11376
171;20;14721;4284;470;-20;2816;-11328;11376
171;20;14821;4578;631;223;2912;-10928;11728
171;20;14921;3940;475;-174;3072;-10096;12208
171;20;15021;3895;587;175;3136;-9472;12816
171;20;15121;4282;622;237;3312;-8720;13168
171;20;15221;3801;403;121;3568;-7872;13616
171;20;15321;2340;43;138;3456;-6992;14128
171;20;15421;-548;-12;-167;3360;-6144;14272
171;20;15521;-1906;-1732;-1269;3344;-5712;14496
171;20;15621;-77;-1716;-685;3392;-6016;14432
171;20;15721;131;-1626;-128;2832;-6256;14912
171;20;15821;984;-2366;-913;2400;-6432;14784
171;20;15921;-268;-1942;-1194;2192;-6240;14960
171;20;16021;-504;-1623;-494;1568;-6352;14912
171;20;16121;-498;-2114;-662;816;-6544;14896
171;20;16221;-667;-2628;-798;288;-6576;14816
171;20;16321;-1823;-2216;-391;-384;-6784;14512
171;20;16421;-317;-2300;-483;-816;-6912;14400
171;20;16521;-812;-1823;44;-1408;-6912;14016
171;20;16621;-1249;921;1359;-1792;-7216;13328
171;20;16721;-6861;6670;3891;-1328;-7952;13168
171;20;16821;567;6297;1986;32;-9248;13392
171;20;16921;1440;3914;1062;1456;-9488;13872
171;20;17021;3720;1576;564;2288;-9056;14304
171;20;17121;-508;249;373;2560;-8736;14112
171;20;17221;29;51;-216;2656;-8816;13664
171;20;17321;-554;-107;-229;3136;-8528;14000
171;20;17421;-1529;-100;-36;3008;-8368;13936
171;20;17521;1157;570;815;3168;-8800;13648
171;20;17621;-2802;-482;-804;3008;-8224;13424
171;20;17721;1458;120;1002;3104;-8368;14128
171;20;17821;2506;-22;-210;3280;-8416;14448
171;20;17921;-457;94;-79;3344;-8160;14128
171;20;18021;124;64;-21;3184;-8160;13984
171;20;18121;37;62;8;3168;-8112;13856
171;20;18221;244;49;36;3232;-8032;13824
171;20;18321;19;-32;-22;3072;-7984;13888
171;20;18421;-144;-198;-74;2976;-7888;13936
171;20;18521;146;-40;-99;2992;-8032;13904
171;20;18621;-122;132;-88;3248;-8048;13808
171;20;18721;12;97;-79;3152;-8016;13888
171;20;18821;37;-48;85;3120;-8064;13776
171;20;18921;85;39;40;3184;-8016;13696
171;20;19021;272;67;45;3136;-7904;13760
171;20;19121;-43;-9;-90;3120;-7856;13856
171;20;19221;-20;-42;-12;3184;-7872;13792
171;20;19321;166;16;7;3152;-7888;13776
171;20;19421;427;9;-44;3232;-7824;13808
